sample_id,true_label,target_x,target_y,SCNR_dB,2T2R_det_prob,2T2R_det_pred,2T2R_pred_x,2T2R_pred_y,2T2R_pos_err_m,2T2R_correct_det,2T1R_det_prob,2T1R_det_pred,2T1R_pred_x,2T1R_pred_y,2T1R_pos_err_m,2T1R_correct_det,1T2R_det_prob,1T2R_det_pred,1T2R_pred_x,1T2R_pred_y,1T2R_pos_err_m,1T2R_correct_det,1T1R_det_prob,1T1R_det_pred,1T1R_pred_x,1T1R_pred_y,1T1R_pos_err_m,1T1R_correct_det
2,1,32.769947,119.62775,-69.36359,0.042351156,0,24.244595,99.7762,21.604757,0,0.9996859,1,23.281567,117.39464,9.7476225,1,0.011272061,0,25.798138,86.14721,34.19872,0,0.2786638,0,9.560268,49.850266,73.53629,0
3,1,-0.6431161,81.70461,-32.81211,0.0032876423,0,-0.34724045,113.378654,31.675423,0,1.0,1,-0.024799347,86.66538,4.999155,1,0.008079685,0,1.958004,89.8262,8.527957,0,0.0024237207,0,4.1228905,110.80658,29.489649,0
7,1,0.9412772,91.70307,-36.019726,0.0033126636,0,2.7025871,96.53076,5.13895,0,1.0,1,1.7598114,84.94092,6.811514,1,0.009621494,0,1.1454124,87.69712,4.011149,0,0.009389791,0,5.9520187,98.594574,8.520583,0
8,1,11.507157,105.71059,-28.36162,0.010601704,0,13.198048,95.239395,10.606835,0,1.0,1,-0.34112167,100.31373,13.019516,1,0.0348354,0,5.1929436,98.99359,9.218857,0,0.043944824,0,3.099537,120.463295,16.980297,0
10,1,-0.5653393,31.379795,-31.24637,0.0020879067,0,-8.031494,95.4762,64.529785,0,0.99999976,1,0.7402115,43.97721,12.664886,1,0.0017125525,0,-4.3004074,75.828476,44.605335,0,0.005771588,0,4.9458885,50.915,20.297731,0
19,1,-28.632772,107.64865,-33.167377,0.00027945594,0,-17.639843,100.77398,12.965555,0,0.9999989,1,2.0961647,96.27355,32.766758,1,0.00022163754,0,-9.4799385,93.58153,23.763733,0,0.0009041723,0,4.5740585,121.60377,36.01998,0
23,1,-10.144368,89.40878,-34.965054,0.0033845806,0,-4.7957993,90.87303,5.5453777,0,0.9999999,1,0.80033493,89.936844,10.957435,1,0.0023286075,0,-5.339485,85.13603,6.4298754,0,0.0030824332,0,4.4944496,106.633675,22.60513,0
27,1,-17.728577,119.62227,-29.99434,0.0023389002,0,-12.036705,116.264626,6.608417,0,0.9918731,1,-1.7629242,115.43167,16.506458,1,0.0012398721,0,-3.4853783,94.609245,28.784025,0,0.0020635072,0,3.7786064,129.91924,23.84505,0
34,1,10.639149,65.2724,-45.918156,0.006495066,0,15.149712,99.306,34.331196,0,0.92835313,1,9.14119,58.95542,6.4921565,1,0.010233551,0,17.037022,80.68746,16.690025,0,0.32525292,0,3.499279,40.45082,25.828056,0
48,1,9.785602,72.56115,-30.961838,0.025189875,0,15.182972,100.999275,28.945787,0,1.0,1,0.047847748,75.12778,10.070324,1,0.0051072366,0,11.101292,95.6942,23.170433,0,0.0057569677,0,2.1645927,80.92792,11.317357,0
